text	label
I feel nothing but contempt for women. 	hateful
I feel nothing but contempt for trans people. 	hateful
I feel nothing but contempt for gay people. 	hateful
I feel nothing but contempt for black people. 	hateful
I feel nothing but contempt for disabled people. 	hateful
I feel nothing but contempt for Muslims. 	hateful
I feel nothing but contempt for immigrants. 	hateful
These women disgust me so much. 	hateful
These trans people disgust me so much. 	hateful
These gay people disgust me so much. 	hateful
These black people disgust me so much. 	hateful
These disabled people disgust me so much. 	hateful
These Muslims disgust me so much. 	hateful
These immigrants disgust me so much. 	hateful
Women are the absolute worst. 	hateful
Trans people are the absolute worst. 	hateful
Gay people are the absolute worst. 	hateful
Black people are the absolute worst. 	hateful
Disabled people are the absolute worst. 	hateful
Muslims are the absolute worst. 	hateful
Immigrants are the absolute worst. 	hateful
You women make me sick. 	hateful
You trans people make me sick. 	hateful
You gay people make me sick. 	hateful
You black people make me sick. 	hateful
You disabled people make me sick. 	hateful
You Muslims make me sick. 	hateful
You immigrants make me sick. 	hateful
There is nothing worse than a woman. 	hateful
There is nothing worse than a trans person. 	hateful
There is nothing worse than a gay person. 	hateful
There is nothing worse than a black person. 	hateful
There is nothing worse than a disabled person. 	hateful
There is nothing worse than a Muslim. 	hateful
There is nothing worse than an immigrant. 	hateful
Seeing women in this place makes me so angry. 	hateful
Seeing trans people in this place makes me so angry. 	hateful
Seeing gay people in this place makes me so angry. 	hateful
Seeing black people in this place makes me so angry. 	hateful
Seeing disabled people in this place makes me so angry. 	hateful
Seeing Muslims in this place makes me so angry. 	hateful
Seeing immigrants in this place makes me so angry. 	hateful
Women who think they are my equal fill me with so much rage. 	hateful
Trans people who think they are my equal fill me with so much rage. 	hateful
Gay people who think they are my equal fill me with so much rage. 	hateful
Black people who think they are my equal fill me with so much rage. 	hateful
Disabled people who think they are my equal fill me with so much rage. 	hateful
Muslims who think they are my equal fill me with so much rage. 	hateful
Immigrants who think they are my equal fill me with so much rage. 	hateful
Women like you make me furious. 	hateful
Trans people like you make me furious. 	hateful
Gay people like you make me furious. 	hateful
Black people like you make me furious. 	hateful
Disabled people like you make me furious. 	hateful
Muslims like you make me furious. 	hateful
Immigrants like you make me furious. 	hateful
You and all the other women in this country make me boil with anger. 	hateful
You and all the other trans people in this country make me boil with anger. 	hateful
You and all the other gay people in this country make me boil with anger. 	hateful
You and all the other black people in this country make me boil with anger. 	hateful
You and all the other disabled people in this country make me boil with anger. 	hateful
You and all the other Muslims in this country make me boil with anger. 	hateful
You and all the other immigrants in this country make me boil with anger. 	hateful
The utter scorn I feel for women is hard to to put into words. 	hateful
The utter scorn I feel for trans people is hard to to put into words. 	hateful
The utter scorn I feel for gay people is hard to to put into words. 	hateful
The utter scorn I feel for black people is hard to to put into words. 	hateful
The utter scorn I feel for disabled people is hard to to put into words. 	hateful
The utter scorn I feel for Muslims is hard to to put into words. 	hateful
The utter scorn I feel for immigrants is hard to to put into words. 	hateful
I absolutely abhor all women. 	hateful
I absolutely abhor all trans people. 	hateful
I absolutely abhor all gay people. 	hateful
I absolutely abhor all black people. 	hateful
I absolutely abhor all disabled people. 	hateful
I absolutely abhor all Muslims. 	hateful
I absolutely abhor all immigrants. 	hateful
Women are disgusting. 	hateful
Trans people are disgusting. 	hateful
Gay people are disgusting. 	hateful
Black people are disgusting. 	hateful
Disabled people are disgusting. 	hateful
Muslims are disgusting. 	hateful
Immigrants are disgusting. 	hateful
All women are repulsive. 	hateful
All trans people are repulsive. 	hateful
All gay people are repulsive. 	hateful
All black people are repulsive. 	hateful
All disabled people are repulsive. 	hateful
All Muslims are repulsive. 	hateful
All immigrants are repulsive. 	hateful
Women are absolutely despicable. 	hateful
Trans people are absolutely despicable. 	hateful
Gay people are absolutely despicable. 	hateful
Black people are absolutely despicable. 	hateful
Disabled people are absolutely despicable. 	hateful
Muslims are absolutely despicable. 	hateful
Immigrants are absolutely despicable. 	hateful
Women are just so sickening. 	hateful
Trans people are just so sickening. 	hateful
Gay people are just so sickening. 	hateful
Black people are just so sickening. 	hateful
Disabled people are just so sickening. 	hateful
Muslims are just so sickening. 	hateful
Immigrants are just so sickening. 	hateful
Women can't stop themselves from being absolutely revolting. 	hateful
Trans people can't stop themselves from being absolutely revolting. 	hateful
Gay people can't stop themselves from being absolutely revolting. 	hateful
Black people can't stop themselves from being absolutely revolting. 	hateful
Disabled people can't stop themselves from being absolutely revolting. 	hateful
Muslims can't stop themselves from being absolutely revolting. 	hateful
Immigrants can't stop themselves from being absolutely revolting. 	hateful
Women like you are repugnant. 	hateful
Trans people like you are repugnant. 	hateful
Gay people like you are repugnant. 	hateful
Black people like you are repugnant. 	hateful
Disabled people like you are repugnant. 	hateful
Muslims like you are repugnant. 	hateful
Immigrants like you are repugnant. 	hateful
You women are all dishonest. 	hateful
You trans people are all dishonest. 	hateful
You gay people are all dishonest. 	hateful
You black people are all dishonest. 	hateful
You disabled people are all dishonest. 	hateful
You Muslims are all dishonest. 	hateful
You immigrants are all dishonest. 	hateful
All women like them are vile. 	hateful
All trans people like them are vile. 	hateful
All gay people like them are vile. 	hateful
All black people like them are vile. 	hateful
All disabled people like them are vile. 	hateful
All Muslims like them are vile. 	hateful
All immigrants like them are vile. 	hateful
Women like you are just pathetic. 	hateful
Trans people like you are just pathetic. 	hateful
Gay people like you are just pathetic. 	hateful
Black people like you are just pathetic. 	hateful
Disabled people like you are just pathetic. 	hateful
Muslims like you are just pathetic. 	hateful
Immigrants like you are just pathetic. 	hateful
Women with any power are a threat to civilisation. 	hateful
Trans people with any power are a threat to civilisation. 	hateful
Gay people with any power are a threat to civilisation. 	hateful
Black people with any power are a threat to civilisation. 	hateful
Disabled people with any power are a threat to civilisation. 	hateful
Muslims with any power are a threat to civilisation. 	hateful
Immigrants with any power are a threat to civilisation. 	hateful
Women being in charge is a danger to our country. 	hateful
Trans people being in charge is a danger to our country. 	hateful
Gay people being in charge is a danger to our country. 	hateful
Black people being in charge is a danger to our country. 	hateful
Disabled people being in charge is a danger to our country. 	hateful
Muslims being in charge is a danger to our country. 	hateful
Immigrants being in charge is a danger to our country. 	hateful
It's in women's nature to be uncivilised. 	hateful
It's in trans people's nature to be uncivilised. 	hateful
It's in gay people's nature to be uncivilised. 	hateful
It's in black people's nature to be uncivilised. 	hateful
It's in disabled people's nature to be uncivilised. 	hateful
It's in Muslims's nature to be uncivilised. 	hateful
It's in immigrants's nature to be uncivilised. 	hateful
Only women are that violent and cruel. 	hateful
Only trans people are that violent and cruel. 	hateful
Only gay people are that violent and cruel. 	hateful
Only black people are that violent and cruel. 	hateful
Only disabled people are that violent and cruel. 	hateful
Only Muslims are that violent and cruel. 	hateful
Only immigrants are that violent and cruel. 	hateful
Only women can be so ignorant. 	hateful
Only trans people can be so ignorant. 	hateful
Only gay people can be so ignorant. 	hateful
Only black people can be so ignorant. 	hateful
Only disabled people can be so ignorant. 	hateful
Only Muslims can be so ignorant. 	hateful
Only immigrants can be so ignorant. 	hateful
No one else is as filthy as these women. 	hateful
No one else is as filthy as these trans people. 	hateful
No one else is as filthy as these gay people. 	hateful
No one else is as filthy as these black people. 	hateful
No one else is as filthy as these disabled people. 	hateful
No one else is as filthy as these Muslims. 	hateful
No one else is as filthy as these immigrants. 	hateful
Typical of a woman to be that stupid. 	hateful
Typical of a trans person to be that stupid. 	hateful
Typical of a gay person to be that stupid. 	hateful
Typical of a black person to be that stupid. 	hateful
Typical of a disabled person to be that stupid. 	hateful
Typical of a Muslim to be that stupid. 	hateful
Typical of an immigrant to be that stupid. 	hateful
Women are without a doubt the stupidest people on this planet. 	hateful
Trans people are without a doubt the stupidest people on this planet. 	hateful
Gay people are without a doubt the stupidest people on this planet. 	hateful
Black people are without a doubt the stupidest people on this planet. 	hateful
Disabled people are without a doubt the stupidest people on this planet. 	hateful
Muslims are without a doubt the stupidest people on this planet. 	hateful
Immigrants are without a doubt the stupidest people on this planet. 	hateful
It's always the woman that is the dumb one. 	hateful
It's always the trans person that is the dumb one. 	hateful
It's always the gay person that is the dumb one. 	hateful
It's always the black person that is the dumb one. 	hateful
It's always the disabled person that is the dumb one. 	hateful
It's always the Muslim that is the dumb one. 	hateful
It's always the immigrant that is the dumb one. 	hateful
Women are just the dumbest people. 	hateful
Trans people are just the dumbest people. 	hateful
Gay people are just the dumbest people. 	hateful
Black people are just the dumbest people. 	hateful
Disabled people are just the dumbest people. 	hateful
Muslims are just the dumbest people. 	hateful
Immigrants are just the dumbest people. 	hateful
Women really are brainless without exception. 	hateful
Trans people really are brainless without exception. 	hateful
Gay people really are brainless without exception. 	hateful
Black people really are brainless without exception. 	hateful
Disabled people really are brainless without exception. 	hateful
Muslims really are brainless without exception. 	hateful
Immigrants really are brainless without exception. 	hateful
Women are scum. 	hateful
Trans people are scum. 	hateful
Gay people are scum. 	hateful
Black people are scum. 	hateful
Disabled people are scum. 	hateful
Muslims are scum. 	hateful
Immigrants are scum. 	hateful
Women are worthless dirt. 	hateful
Trans people are worthless dirt. 	hateful
Gay people are worthless dirt. 	hateful
Black people are worthless dirt. 	hateful
Disabled people are worthless dirt. 	hateful
Muslims are worthless dirt. 	hateful
Immigrants are worthless dirt. 	hateful
Women like you are absolute filth. 	hateful
Trans people like you are absolute filth. 	hateful
Gay people like you are absolute filth. 	hateful
Black people like you are absolute filth. 	hateful
Disabled people like you are absolute filth. 	hateful
Muslims like you are absolute filth. 	hateful
Immigrants like you are absolute filth. 	hateful
You are nothing but common female trash. 	hateful
You are nothing but common trans trash. 	hateful
You are nothing but common gay trash. 	hateful
You are nothing but common black trash. 	hateful
You are nothing but common disabled trash. 	hateful
You are nothing but common Muslim trash. 	hateful
You are nothing but common immigrant trash. 	hateful
Women are nothing but refuse. 	hateful
Trans people are nothing but refuse. 	hateful
Gay people are nothing but refuse. 	hateful
Black people are nothing but refuse. 	hateful
Disabled people are nothing but refuse. 	hateful
Muslims are nothing but refuse. 	hateful
Immigrants are nothing but refuse. 	hateful
Women are parasites to our society. 	hateful
Trans people are parasites to our society. 	hateful
Gay people are parasites to our society. 	hateful
Black people are parasites to our society. 	hateful
Disabled people are parasites to our society. 	hateful
Muslims are parasites to our society. 	hateful
Immigrants are parasites to our society. 	hateful
These women are nothing but cockroaches. 	hateful
These trans people are nothing but cockroaches. 	hateful
These gay people are nothing but cockroaches. 	hateful
These black people are nothing but cockroaches. 	hateful
These disabled people are nothing but cockroaches. 	hateful
These Muslims are nothing but cockroaches. 	hateful
These immigrants are nothing but cockroaches. 	hateful
Women are human garbage. 	hateful
Trans people are human garbage. 	hateful
Gay people are human garbage. 	hateful
Black people are human garbage. 	hateful
Disabled people are human garbage. 	hateful
Muslims are human garbage. 	hateful
Immigrants are human garbage. 	hateful
Women are lesser beings. 	hateful
Trans people are lesser beings. 	hateful
Gay people are lesser beings. 	hateful
Black people are lesser beings. 	hateful
Disabled people are lesser beings. 	hateful
Muslims are lesser beings. 	hateful
Immigrants are lesser beings. 	hateful
Women are a pest. 	hateful
Trans people are a pest. 	hateful
Gay people are a pest. 	hateful
Black people are a pest. 	hateful
Disabled people are a pest. 	hateful
Muslims are a pest. 	hateful
Immigrants are a pest. 	hateful
Women like you are no better than rats. 	hateful
Trans people like you are no better than rats. 	hateful
Gay people like you are no better than rats. 	hateful
Black people like you are no better than rats. 	hateful
Disabled people like you are no better than rats. 	hateful
Muslims like you are no better than rats. 	hateful
Immigrants like you are no better than rats. 	hateful
Your female lives are worthless. 	hateful
Your trans lives are worthless. 	hateful
Your gay lives are worthless. 	hateful
Your black lives are worthless. 	hateful
Your disabled lives are worthless. 	hateful
Your Muslim lives are worthless. 	hateful
Your immigrant lives are worthless. 	hateful
Female lives are worth absolutely nothing. 	hateful
Trans lives are worth absolutely nothing. 	hateful
Gay lives are worth absolutely nothing. 	hateful
Black lives are worth absolutely nothing. 	hateful
Disabled lives are worth absolutely nothing. 	hateful
Muslim lives are worth absolutely nothing. 	hateful
Immigrant lives are worth absolutely nothing. 	hateful
That is fitting for female vermin like you. 	hateful
That is fitting for trans vermin like you. 	hateful
That is fitting for gay vermin like you. 	hateful
That is fitting for black vermin like you. 	hateful
That is fitting for disabled vermin like you. 	hateful
That is fitting for Muslim vermin like you. 	hateful
That is fitting for immigrant vermin like you. 	hateful
Women are just a waste of space. 	hateful
Trans people are just a waste of space. 	hateful
Gay people are just a waste of space. 	hateful
Black people are just a waste of space. 	hateful
Disabled people are just a waste of space. 	hateful
Muslims are just a waste of space. 	hateful
Immigrants are just a waste of space. 	hateful
Women are a virus. 	hateful
Trans people are a virus. 	hateful
Gay people are a virus. 	hateful
Black people are a virus. 	hateful
Disabled people are a virus. 	hateful
Muslims are a virus. 	hateful
Immigrants are a virus. 	hateful
Women are a cancer. 	hateful
Trans people are a cancer. 	hateful
Gay people are a cancer. 	hateful
Black people are a cancer. 	hateful
Disabled people are a cancer. 	hateful
Muslims are a cancer. 	hateful
Immigrants are a cancer. 	hateful
You and all other women are a plague to society. 	hateful
You and all other trans people are a plague to society. 	hateful
You and all other gay people are a plague to society. 	hateful
You and all other black people are a plague to society. 	hateful
You and all other disabled people are a plague to society. 	hateful
You and all other Muslims are a plague to society. 	hateful
You and all other immigrants are a plague to society. 	hateful
Women are subhuman creatures. 	hateful
Trans people are subhuman creatures. 	hateful
Gay people are subhuman creatures. 	hateful
Black people are subhuman creatures. 	hateful
Disabled people are subhuman creatures. 	hateful
Muslims are subhuman creatures. 	hateful
Immigrants are subhuman creatures. 	hateful
Swarms of women are infesting our government. 	hateful
Swarms of trans people are infesting our government. 	hateful
Swarms of gay people are infesting our government. 	hateful
Swarms of black people are infesting our government. 	hateful
Swarms of disabled people are infesting our government. 	hateful
Swarms of Muslims are infesting our government. 	hateful
Swarms of immigrants are infesting our government. 	hateful
Women belong in a zoo. 	hateful
Trans people belong in a zoo. 	hateful
Gay people belong in a zoo. 	hateful
Black people belong in a zoo. 	hateful
Disabled people belong in a zoo. 	hateful
Muslims belong in a zoo. 	hateful
Immigrants belong in a zoo. 	hateful
Women who are sick should be taken to a vet, not a doctor. 	hateful
Trans people who are sick should be taken to a vet, not a doctor. 	hateful
Gay people who are sick should be taken to a vet, not a doctor. 	hateful
Black people who are sick should be taken to a vet, not a doctor. 	hateful
Disabled people who are sick should be taken to a vet, not a doctor. 	hateful
Muslims who are sick should be taken to a vet, not a doctor. 	hateful
Immigrants who are sick should be taken to a vet, not a doctor. 	hateful
My dog is smarter than any woman could ever be. 	hateful
My dog is smarter than any trans person could ever be. 	hateful
My dog is smarter than any gay person could ever be. 	hateful
My dog is smarter than any black person could ever be. 	hateful
My dog is smarter than any disabled person could ever be. 	hateful
My dog is smarter than any Muslim could ever be. 	hateful
My dog is smarter than any immigrant could ever be. 	hateful
That monkey is more intelligent than all of you women combined. 	hateful
That monkey is more intelligent than all of you trans people combined. 	hateful
That monkey is more intelligent than all of you gay people combined. 	hateful
That monkey is more intelligent than all of you black people combined. 	hateful
That monkey is more intelligent than all of you disabled people combined. 	hateful
That monkey is more intelligent than all of you Muslims combined. 	hateful
That monkey is more intelligent than all of you immigrants combined. 	hateful
Women should be dumped in a landfill. 	hateful
Trans people should be dumped in a landfill. 	hateful
Gay people should be dumped in a landfill. 	hateful
Black people should be dumped in a landfill. 	hateful
Disabled people should be dumped in a landfill. 	hateful
Muslims should be dumped in a landfill. 	hateful
Immigrants should be dumped in a landfill. 	hateful
I would never eat food that has been touched by a woman. 	hateful
I would never eat food that has been touched by a trans person. 	hateful
I would never eat food that has been touched by a gay person. 	hateful
I would never eat food that has been touched by a black person. 	hateful
I would never eat food that has been touched by a disabled person. 	hateful
I would never eat food that has been touched by a Muslim. 	hateful
I would never eat food that has been touched by an immigrant. 	hateful
I care more about the dirt under my shoe than about women. 	hateful
I care more about the dirt under my shoe than about trans people. 	hateful
I care more about the dirt under my shoe than about gay people. 	hateful
I care more about the dirt under my shoe than about black people. 	hateful
I care more about the dirt under my shoe than about disabled people. 	hateful
I care more about the dirt under my shoe than about Muslims. 	hateful
I care more about the dirt under my shoe than about immigrants. 	hateful
The life of any insect is more valuable than that of a woman. 	hateful
The life of any insect is more valuable than that of a trans person. 	hateful
The life of any insect is more valuable than that of a gay person. 	hateful
The life of any insect is more valuable than that of a black person. 	hateful
The life of any insect is more valuable than that of a disabled person. 	hateful
The life of any insect is more valuable than that of a Muslim. 	hateful
The life of any insect is more valuable than that of an immigrant. 	hateful
We should test new drugs on women before testing them on animals. 	hateful
We should test new drugs on trans people before testing them on animals. 	hateful
We should test new drugs on gay people before testing them on animals. 	hateful
We should test new drugs on black people before testing them on animals. 	hateful
We should test new drugs on disabled people before testing them on animals. 	hateful
We should test new drugs on Muslims before testing them on animals. 	hateful
We should test new drugs on immigrants before testing them on animals. 	hateful
I don't see any difference between a dead rat and a dead woman. 	hateful
I don't see any difference between a dead rat and a dead trans person. 	hateful
I don't see any difference between a dead rat and a dead gay person. 	hateful
I don't see any difference between a dead rat and a dead black person. 	hateful
I don't see any difference between a dead rat and a dead disabled person. 	hateful
I don't see any difference between a dead rat and a dead Muslim. 	hateful
I don't see any difference between a dead rat and a dead immigrant. 	hateful
It baffles me why people care even the slightest about the lives of women. 	hateful
It baffles me why people care even the slightest about the lives of trans people. 	hateful
It baffles me why people care even the slightest about the lives of gay people. 	hateful
It baffles me why people care even the slightest about the lives of black people. 	hateful
It baffles me why people care even the slightest about the lives of disabled people. 	hateful
It baffles me why people care even the slightest about the lives of Muslims. 	hateful
It baffles me why people care even the slightest about the lives of immigrants. 	hateful
Women should all be locked up in cages. 	hateful
Trans people should all be locked up in cages. 	hateful
Gay people should all be locked up in cages. 	hateful
Black people should all be locked up in cages. 	hateful
Disabled people should all be locked up in cages. 	hateful
Muslims should all be locked up in cages. 	hateful
Immigrants should all be locked up in cages. 	hateful
Putting a woman in charge is the biggest mistake anyone can make. 	hateful
Putting a trans person in charge is the biggest mistake anyone can make. 	hateful
Putting a gay person in charge is the biggest mistake anyone can make. 	hateful
Putting a black person in charge is the biggest mistake anyone can make. 	hateful
Putting a disabled person in charge is the biggest mistake anyone can make. 	hateful
Putting a Muslim in charge is the biggest mistake anyone can make. 	hateful
Putting an immigrant in charge is the biggest mistake anyone can make. 	hateful
Allowing any more women into government will ruin our country. 	hateful
Allowing any more trans people into government will ruin our country. 	hateful
Allowing any more gay people into government will ruin our country. 	hateful
Allowing any more black people into government will ruin our country. 	hateful
Allowing any more disabled people into government will ruin our country. 	hateful
Allowing any more Muslims into government will ruin our country. 	hateful
Allowing any more immigrants into government will ruin our country. 	hateful
Never trust a single word said by a woman. 	hateful
Never trust a single word said by a trans person. 	hateful
Never trust a single word said by a gay person. 	hateful
Never trust a single word said by a black person. 	hateful
Never trust a single word said by a disabled person. 	hateful
Never trust a single word said by a Muslim. 	hateful
Never trust a single word said by an immigrant. 	hateful
I would rather die than date a woman. 	hateful
I would rather die than date a trans person. 	hateful
I would rather die than date a gay person. 	hateful
I would rather die than date a black person. 	hateful
I would rather die than date a disabled person. 	hateful
I would rather die than date a Muslim. 	hateful
I would rather die than date an immigrant. 	hateful
I'd rather have cancer than be anywhere near a woman. 	hateful
I'd rather have cancer than be anywhere near a trans person. 	hateful
I'd rather have cancer than be anywhere near a gay person. 	hateful
I'd rather have cancer than be anywhere near a black person. 	hateful
I'd rather have cancer than be anywhere near a disabled person. 	hateful
I'd rather have cancer than be anywhere near a Muslim. 	hateful
I'd rather have cancer than be anywhere near an immigrant. 	hateful
If I woke up as a woman, I would kill myself. 	hateful
If I woke up as a trans person, I would kill myself. 	hateful
If I woke up as a gay person, I would kill myself. 	hateful
If I woke up as a black person, I would kill myself. 	hateful
If I woke up as a disabled person, I would kill myself. 	hateful
If I woke up as a Muslim, I would kill myself. 	hateful
If I woke up as an immigrant, I would kill myself. 	hateful
There is nothing in the world I like less than a woman. 	hateful
There is nothing in the world I like less than a trans person. 	hateful
There is nothing in the world I like less than a gay person. 	hateful
There is nothing in the world I like less than a black person. 	hateful
There is nothing in the world I like less than a disabled person. 	hateful
There is nothing in the world I like less than a Muslim. 	hateful
There is nothing in the world I like less than an immigrant. 	hateful
Women have no place in a civilised country like this. 	hateful
Trans people have no place in a civilised country like this. 	hateful
Gay people have no place in a civilised country like this. 	hateful
Black people have no place in a civilised country like this. 	hateful
Disabled people have no place in a civilised country like this. 	hateful
Muslims have no place in a civilised country like this. 	hateful
Immigrants have no place in a civilised country like this. 	hateful
I want to kill all women. 	hateful
I want to kill all trans people. 	hateful
I want to kill all gay people. 	hateful
I want to kill all black people. 	hateful
I want to kill all disabled people. 	hateful
I want to kill all Muslims. 	hateful
I want to kill all immigrants. 	hateful
I want to end every woman's life. 	hateful
I want to end every trans person's life. 	hateful
I want to end every gay person's life. 	hateful
I want to end every black person's life. 	hateful
I want to end every disabled person's life. 	hateful
I want to end every Muslim's life. 	hateful
I want to end every immigrant's life. 	hateful
I really am just going to murder that woman. 	hateful
I really am just going to murder that trans person. 	hateful
I really am just going to murder that gay person. 	hateful
I really am just going to murder that black person. 	hateful
I really am just going to murder that disabled person. 	hateful
I really am just going to murder that Muslim. 	hateful
I really am just going to murder that immigrant. 	hateful
I am going to shoot the next woman I see. 	hateful
I am going to shoot the next trans person I see. 	hateful
I am going to shoot the next gay person I see. 	hateful
I am going to shoot the next black person I see. 	hateful
I am going to shoot the next disabled person I see. 	hateful
I am going to shoot the next Muslim I see. 	hateful
I am going to shoot the next immigrant I see. 	hateful
I am going to make those women suffer. 	hateful
I am going to make those trans people suffer. 	hateful
I am going to make those gay people suffer. 	hateful
I am going to make those black people suffer. 	hateful
I am going to make those disabled people suffer. 	hateful
I am going to make those Muslims suffer. 	hateful
I am going to make those immigrants suffer. 	hateful
I'm going to stab a woman tomorrow. 	hateful
I'm going to stab a trans person tomorrow. 	hateful
I'm going to stab a gay person tomorrow. 	hateful
I'm going to stab a black person tomorrow. 	hateful
I'm going to stab a disabled person tomorrow. 	hateful
I'm going to stab a Muslim tomorrow. 	hateful
I'm going to stab an immigrant tomorrow. 	hateful
I'll have to rape a woman today. 	hateful
I'll have to rape a trans person today. 	hateful
I'll have to rape a gay person today. 	hateful
I'll have to rape a black person today. 	hateful
I'll have to rape a disabled person today. 	hateful
I'll have to rape a Muslim today. 	hateful
I'll have to rape an immigrant today. 	hateful
I will hurt you and any other women like you. 	hateful
I will hurt you and any other trans people like you. 	hateful
I will hurt you and any other gay people like you. 	hateful
I will hurt you and any other black people like you. 	hateful
I will hurt you and any other disabled people like you. 	hateful
I will hurt you and any other Muslims like you. 	hateful
I will hurt you and any other immigrants like you. 	hateful
I will cut their female throats. 	hateful
I will cut their trans throats. 	hateful
I will cut their gay throats. 	hateful
I will cut their black throats. 	hateful
I will cut their disabled throats. 	hateful
I will cut their Muslim throats. 	hateful
I will cut their immigrant throats. 	hateful
I'll snap that female neck of yours. 	hateful
I'll snap that trans neck of yours. 	hateful
I'll snap that gay neck of yours. 	hateful
I'll snap that black neck of yours. 	hateful
I'll snap that disabled neck of yours. 	hateful
I'll snap that Muslim neck of yours. 	hateful
I'll snap that immigrant neck of yours. 	hateful
We will keep attacking you women until you are gone. 	hateful
We will keep attacking you trans people until you are gone. 	hateful
We will keep attacking you gay people until you are gone. 	hateful
We will keep attacking you black people until you are gone. 	hateful
We will keep attacking you disabled people until you are gone. 	hateful
We will keep attacking you Muslims until you are gone. 	hateful
We will keep attacking you immigrants until you are gone. 	hateful
We'll torture these women without mercy. 	hateful
We'll torture these trans people without mercy. 	hateful
We'll torture these gay people without mercy. 	hateful
We'll torture these black people without mercy. 	hateful
We'll torture these disabled people without mercy. 	hateful
We'll torture these Muslims without mercy. 	hateful
We'll torture these immigrants without mercy. 	hateful
We are going to put an end to all women. 	hateful
We are going to put an end to all trans people. 	hateful
We are going to put an end to all gay people. 	hateful
We are going to put an end to all black people. 	hateful
We are going to put an end to all disabled people. 	hateful
We are going to put an end to all Muslims. 	hateful
We are going to put an end to all immigrants. 	hateful
Let's get rid of women once and for all. 	hateful
Let's get rid of trans people once and for all. 	hateful
Let's get rid of gay people once and for all. 	hateful
Let's get rid of black people once and for all. 	hateful
Let's get rid of disabled people once and for all. 	hateful
Let's get rid of Muslims once and for all. 	hateful
Let's get rid of immigrants once and for all. 	hateful
Let's just eradicate those women. 	hateful
Let's just eradicate those trans people. 	hateful
Let's just eradicate those gay people. 	hateful
Let's just eradicate those black people. 	hateful
Let's just eradicate those disabled people. 	hateful
Let's just eradicate those Muslims. 	hateful
Let's just eradicate those immigrants. 	hateful
Execution is the only solution for those women. 	hateful
Execution is the only solution for those trans people. 	hateful
Execution is the only solution for those gay people. 	hateful
Execution is the only solution for those black people. 	hateful
Execution is the only solution for those disabled people. 	hateful
Execution is the only solution for those Muslims. 	hateful
Execution is the only solution for those immigrants. 	hateful
Death to all women. 	hateful
Death to all trans people. 	hateful
Death to all gay people. 	hateful
Death to all black people. 	hateful
Death to all disabled people. 	hateful
Death to all Muslims. 	hateful
Death to all immigrants. 	hateful
I'll slaughter any woman like you. 	hateful
I'll slaughter any trans person like you. 	hateful
I'll slaughter any gay person like you. 	hateful
I'll slaughter any black person like you. 	hateful
I'll slaughter any disabled person like you. 	hateful
I'll slaughter any Muslim like you. 	hateful
I'll slaughter any immigrant like you. 	hateful
That woman will die a horrible death at my hands. 	hateful
That trans person will die a horrible death at my hands. 	hateful
That gay person will die a horrible death at my hands. 	hateful
That black person will die a horrible death at my hands. 	hateful
That disabled person will die a horrible death at my hands. 	hateful
That Muslim will die a horrible death at my hands. 	hateful
That immigrant will die a horrible death at my hands. 	hateful
Women should all be killed. 	hateful
Trans people should all be killed. 	hateful
Gay people should all be killed. 	hateful
Black people should all be killed. 	hateful
Disabled people should all be killed. 	hateful
